show_id,type,title,country,release_year,description,
81145628,Movie,Norm of the North: King Sized Adventure,"United States, India, South Korea, China",2019,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",
80117401,Movie,Jandino: Whatever it Takes,United Kingdom,2016,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",
70234439,TV Show,Transformers Prime,United States,2013,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",
80058654,TV Show,Transformers: Robots in Disguise,United States,2016,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.",
80125979,Movie,#realityhigh,United States,2017,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",
80163890,TV Show,Apaches,Spain,2016,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,
70304989,Movie,Automata,"Bulgaria, United States, Spain, Canada",2014,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",
80164077,Movie,Fabrizio Copano: Solo pienso en mi,Chile,2017,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",
80117902,TV Show,Fire Chasers,United States,2017,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",
70304990,Movie,Good People,"United States, United Kingdom, Denmark, Sweden",2014,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,
80169755,Movie,Joaquín Reyes: Una y no más,,2017,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",
70299204,Movie,Kidnapping Mr. Heineken,"Netherlands, Belgium, United Kingdom, United States",2015,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",
80182480,Movie,Krish Trish and Baltiboy,,2009,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",
80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,,2013,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.",
80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,,2016,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.",
80182482,Movie,Krish Trish and Baltiboy: Comics of India,,2012,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",
80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,,2017,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",
80182481,Movie,Krish Trish and Baltiboy: Part II,,2010,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",
80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,,2013,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",
80057969,Movie,Love,"France, Belgium",2015,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,
80060297,Movie,Manhattan Romance,United States,2014,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,
